Sample,MNS,Group,Depth (m)
MC02(8-10cmbsf),0.15,Slope,5400
MC02(28-30cmbsf),0.16,Slope,5400
D1T1(0-2cmbsf),0.13,Slope,5533
D1T1(4-6cmbsf),0.13,Slope,5533
D1T2(4-6cmbsf),0.15,Slope,5533
D1T2(24-26cmbsf),0.13,Slope,5533
T1B5(0-2cmbsf),0.15,Slope,7061
T1B5(8-10cmbsf),0.16,Slope,7061
T1B5(28-30cmbsf),0.15,Slope,7082
T1B5(38-40cmbsf),0.14,Slope,7082
T1B3R1(0-3cmbsf),0.15,Slope,7082
T1B3R2(0-3cmbsf),0.15,Slope,7082
T1B8(2-4cmbsf),0.15,Slope,7143
T1B8(16-18cmbsf),0.16,Slope,7143
T1L6T1(0-3cmbsf),0.16,Slope,7850
T1L6T2(0-3cmbsf),0.17,Slope,7850
T1B10(0-2cmbsf),0.16,Slope,8638
T1B10(36-38cmbsf),0.18,Slope,8638
T1B10(44-46cmbsf),0.14,Slope,8638
T1B11(0-3cmbsf),0.14,Slope,9150
T1L10(0-3cmbsf),0.17,Bottom-axis,10900
T1L10(6-9cmbsf),0.17,Bottom-axis,10900
T1L10(12-15cmbsf),0.27,Bottom-axis,10900
T1L10(18-21cmbsf),0.27,Bottom-axis,10900
T3L11(0-3cmbsf),0.17,Bottom-axis,10908
T3L11(6-9cmbsf),0.17,Bottom-axis,10908
T3L11(12-15cmbsf),0.18,Bottom-axis,10908
T3L11(18-21cmbsf),0.21,Bottom-axis,10908
T3L8(0-3cmbsf),0.17,Bottom-axis,10909
T3L8(6-9cmbsf),0.19,Bottom-axis,10909
T3L8(12-15cmbsf),0.20,Bottom-axis,10909
T3L8(18-21cmbsf),0.24,Bottom-axis,10909
T3L14(0-2cmbsf),0.18,Bottom-axis,10911
T3L14(4-6cmbsf),0.17,Bottom-axis,10911
T3L14(6-8cmbsf),0.16,Bottom-axis,10911
T3L14(12-14cmbsf),0.17,Bottom-axis,10911
T3L14(18-20cmbsf),0.17,Bottom-axis,10911
