Genome,GenomeSize (Mb),Group
B7T1B11,3.25,Trench
B6T1B5,7.31,Trench
B13T1B8,2.94,Trench
B85T1L10,2.50,Trench
B19T1L6,2.49,Trench
B3T1B10,3.59,Trench
B32T1L10,3.79,Trench
B75T1L10,3.27,Trench
B12T3L8,4.09,Trench
B76T3L11,3.35,Trench
B35T3L14,3.01,Trench
B17T3L8,1.65,Trench
B20T1B10,4.15,Trench
B97T1B8,3.75,Trench
B34T3L8,4.14,Trench
B54T3L11,2.94,Trench
B27T1B10,3.37,Trench
B91T1L10,2.92,Trench
B41T3L11,3.05,Trench
B14T1B3,2.07,Trench
B93T3L11,4.41,Trench
B25D1T2,2.44,Trench
B84T3L11,3.09,Trench
B29T1B10,2.95,Trench
B57T1L10,2.51,Trench
B2T3L14,2.35,Trench
B35T1B10,2.54,Trench
B56T3L14,3.75,Trench
B2T3L8,3.16,Trench
B1T1B11,2.57,Trench
B18T3L8,2.81,Trench
B64T3L14,2.64,Trench
B92T3L11,3.12,Trench
B44T1B8,3.10,Trench
B29T1B5,3.55,Trench
B97T1L10,4.53,Trench
B3T1L6,4.14,Trench
B32T3L14,3.67,Trench
B58T3L14,6.75,Trench
B39T1B8,2.67,Trench
B3T1L10,2.52,Trench
B64T1L10,3.40,Trench
B9T1L6,7.15,Trench
B63T3L11,3.79,Trench
B27T1L10,4.01,Trench
B35T3L8,3.56,Trench
B10T3L8,2.31,Trench
B44T3L14,1.36,Trench
B38T3L11,2.34,Trench
B74T1L10,3.22,Trench
B11T1B11,3.56,Trench
B80T3L11,2.01,Trench
B18T1B8,4.94,Trench
B17T1L10,5.66,Trench
B8T1L6,2.36,Trench
B13T1B5,2.61,Trench
B29T3L14,4.10,Trench
B13T1B10,2.63,Trench
B31T1L10,4.19,Trench
B62T3L11,3.24,Trench
B101T1L10,3.60,Trench
B79T1L10,5.20,Trench
B87T3L11,3.77,Trench
B90T1L10,3.98,Trench
B112T1L10,3.35,Trench
B46T1L10,2.32,Trench
B45T1L10,2.93,Trench
B50T3L14,3.03,Trench
B40T3L11,3.11,Trench
B70T1L10,2.84,Trench
B28T3L11,3.85,Trench
B11T3L11,2.99,Trench
B68T1L10,3.51,Trench
B19T3L14,3.43,Trench
B11T1L10,4.20,Trench
B57T3L14,4.57,Trench
B95T1L10,3.05,Trench
B89T1L10,3.13,Trench
B102T3L11,3.42,Trench
B102T1L10,2.99,Trench
B10T1B11,1.42,Slope
B15MC02,1.17,Slope
B15D1T2,1.28,Slope
B20T1B11,3.48,Slope
B93T1B8,2.95,Slope
B4T1L6,3.65,Slope
B7T1L6,3.18,Slope
B65T1B5,2.94,Slope
B51T1B5,1.54,Slope
B21D1T1,2.84,Slope
B19D1T2,2.90,Slope
B3T1B3,3.41,Slope
B68T1B8,3.45,Slope
B16T1B10,3.84,Slope
B68T1B5,4.99,Slope
B18D1T1,2.85,Slope
B2T1B3,2.81,Slope
B5D1T2,2.72,Slope
B58T1B5,6.20,Slope
B22T1B5,3.99,Slope
B27D1T2,3.18,Slope
B10T1B3,2.72,Slope
B40T1B8,2.75,Slope
B1T1B3,2.32,Slope
B18D1T2,2.32,Slope
B1T1L6,3.12,Slope
B15T1B5,2.50,Slope
B20D1T2,3.46,Slope
B23D1T1,2.66,Slope
B40T1B10,2.79,Slope
B2D1T2,1.26,Slope
B56T1B5,1.64,Slope
B50T1B5,2.92,Slope
B24D1T2,4.17,Slope
B8T1B3,4.04,Slope
B25T1L6,2.31,Slope
B77T1B5,4.63,Slope
B102T1B8,3.14,Slope
B23T1L6,2.89,Slope
B6T1B3,2.68,Slope
B4T1B3,3.47,Slope
B24T1B10,4.46,Slope
B13T1B3,2.74,Slope
B13MC02,3.03,Slope
B4D1T1,2.99,Slope
B55T1B5,2.22,Slope
B13T1L6,4.40,Slope
B25T1B8,2.77,Slope
B9T1B5,4.81,Slope
B12T1B3,3.08,Slope
B73T1B5,3.42,Slope
B3T1B11,2.41,Slope
B33T1B5,3.45,Slope
B12D1T1,1.41,Slope
B16T1B3,1.30,Slope
B25T1B10,3.27,Slope
B1D1T2,2.92,Slope
B12T1L6,2.55,Slope
B8D1T1,3.78,Slope
B7T1B8,3.46,Slope
B7T1B10,2.93,Slope
B18T1B5,3.16,Slope
B3MC02,4.09,Slope
B37T1B5,3.51,Slope
B32T1B10,2.59,Slope
B16D1T2,3.21,Slope
B10T1B5,1.67,Slope
B16T1B5,2.40,Slope
B70T1B8,3.01,Slope
B7MC02,2.36,Slope
B48T1B8,3.47,Slope
B16D1T1,3.32,Slope
B57T1B5,2.48,Slope
B11T1B3,2.49,Slope
B19T1B10,1.92,Slope
B8D1T2,2.43,Slope
B95T1B8,2.65,Slope
B6D1T2,2.36,Slope
B13D1T1,2.04,Slope
B26T1L6,2.82,Slope
B85T3L11,2.69,Bottom-axis
B53T3L14,2.36,Bottom-axis
B13T1L10,3.83,Bottom-axis
B105T1L10,4.52,Bottom-axis
B25T1L10,3.31,Bottom-axis
B49T1L10,3.19,Bottom-axis
B26T3L14,3.32,Bottom-axis
B25T3L8,2.59,Bottom-axis
B65T3L11,2.70,Bottom-axis
B48T3L14,4.44,Bottom-axis
B15T1L10,5.35,Bottom-axis
B38T3L8,3.71,Bottom-axis
B60T3L14,3.07,Bottom-axis
B33T3L8,2.61,Bottom-axis
B38T1L10,3.46,Bottom-axis
B61T3L11,3.33,Bottom-axis
B11T3L8,4.59,Bottom-axis
B41T3L14,4.65,Bottom-axis
B77T1L10,2.89,Bottom-axis
B9T3L14,2.47,Bottom-axis
B78T1L10,2.61,Bottom-axis
B36T1L10,4.10,Bottom-axis
B86T1L10,0.82,Bottom-axis
B14T1L10,3.06,Bottom-axis
B40T1L10,3.60,Bottom-axis
B42T3L14,2.99,Bottom-axis
B37T3L11,4.14,Bottom-axis
B43T3L11,2.38,Bottom-axis
B4T3L14,4.06,Bottom-axis
B90T3L11,3.32,Bottom-axis
B39T3L8,2.78,Bottom-axis
B35T1L10,3.18,Bottom-axis
B99T3L11,2.20,Bottom-axis
B108T1L10,6.10,Bottom-axis
B12T3L14,3.15,Bottom-axis
B18T1L10,4.00,Bottom-axis
B55T3L14,3.09,Bottom-axis
B22T1L10,2.62,Bottom-axis
B44T1L10,0.88,Bottom-axis
B54T3L14,2.30,Bottom-axis
B89T3L11,2.81,Bottom-axis
B33T3L14,3.18,Bottom-axis
B7T3L14,2.77,Bottom-axis
B26T3L8,3.76,Bottom-axis
B12T3L11,2.45,Bottom-axis
B1T3L14,2.50,Bottom-axis
B2T1L10,3.38,Bottom-axis
B100T3L11,1.55,Bottom-axis
B111T1L10,0.76,Bottom-axis
B6T3L14,0.66,Bottom-axis
B67T1L10,3.36,Bottom-axis
B87T1L10,2.98,Bottom-axis
B5T3L8,3.68,Bottom-axis
B7T3L11,2.58,Bottom-axis
B66T3L11,2.79,Bottom-axis
B77T3L11,3.98,Bottom-axis
B15T3L11,1.93,Bottom-axis
B58T3L11,3.09,Bottom-axis
B82T3L11,3.06,Bottom-axis
B45T3L11,0.71,Bottom-axis
B50T3L11,5.17,Bottom-axis
B38T3L14,3.80,Bottom-axis
B30T3L11,4.14,Bottom-axis
B58T1L10,0.96,Bottom-axis
B82T1L10,2.91,Bottom-axis
B113T1L10,3.31,Bottom-axis
B17T3L14,3.19,Bottom-axis
B104T3L11,3.16,Bottom-axis
B2T3L11,4.50,Bottom-axis
B27T3L8,2.35,Bottom-axis
B20T1L10,5.70,Bottom-axis
B20T3L14,2.29,Bottom-axis
B16T3L11,2.94,Bottom-axis
B52T3L14,2.92,Bottom-axis
B63T1L10,3.56,Bottom-axis
B10T1L10,2.71,Bottom-axis
B31T3L8,3.53,Bottom-axis
B63T3L14,2.25,Bottom-axis
B13T3L14,1.97,Bottom-axis
B19T3L11,2.68,Bottom-axis
